Reference ID;Client Operation id;Method;Operation State;Status;Initial Amount;Initial Currency;Charged Amount;Charged Currency
01981445afe17ed0bf90a067ac0e8618;87643010177972;apm;complete;fail;300;TRY;0;
01981444ca137bfe9199e94fb118ccc4;79056010143212;apm;in_process;success;410;TRY;410;TRY
01981444429e756b81cacfa62c26c696;6157010144892;apm;complete;fail;400;TRY;0;
019814425fb47db99c7d9b2791fffbc4;12445010130822;apm;complete;fail;417;TRY;0;
0198143fd5407a19b4b19060a8be34be;40256010092112;apm;complete;fail;400;TRY;0;
0198143db4727358a5bd57254f686386;65729010122262;apm;complete;fail;400;TRY;0;
0198143681b37b36a72a767c68ee531d;70412010148042;apm;complete;fail;12077.61;TRY;0;
01981432d3617c5c86a90a574c3e814f;5026020010216554;apm;complete;fail;300;TRY;0;
019814318db27758acd2ff1d932fe67b;5001239010211644;apm;complete;fail;470;TRY;0;
0198143169c272e9b78becdf562f0142;32423010147172;apm;complete;fail;12077.61;TRY;0;
0198142c5c017133b3354da44adb2b02;5000122010210584;apm;complete;fail;470;TRY;0;
01981425e2127d35bd4b4706389cb342;5023164010270014;apm;in_process;success;2500;TRY;2500;TRY
01981424585770eebb35aa34487dacdf;5000096010210644;apm;complete;fail;500;TRY;0;
019814200f007ffeb6b9caa9fab151db;5025314010215104;apm;complete;fail;417;TRY;0;
01981414cbf37c519ac5f78b30ba1d73;93416010178192;apm;complete;fail;350;TRY;0;
01981412ca2871769f67bbc121b151ec;5013390010216334;apm;complete;fail;350;TRY;0;
0198140dd7f070009ac88c2bda281019;5013436010215974;apm;complete;fail;350;TRY;0;
0198140cf262707f86828db1ca44df4a;5000609010209774;apm;complete;fail;300;TRY;0;
0198140c615b7bbda1a6200ca031dc0c;5003062010211994;apm;complete;fail;350;TRY;0;
01981402167174df96ef1fcda6bbc58a;5031845010217764;apm;complete;fail;300;TRY;0;
019813fa14817aee9c4ab543a6ddf480;5024913010216554;apm;complete;fail;700;TRY;0;
019813f362eb779c90c91a42960a27fa;5002335010209724;apm;in_process;success;417;TRY;417;TRY
019813eae7ab776c8e6b1f71ef267e36;5007454010211734;apm;complete;fail;300;TRY;0;
019813ea455b72be85b28945c046fc8e;5016113010215734;apm;complete;fail;300;TRY;0;
019813e886a27c8caad1aa9a2af911a0;5028625010217444;apm;complete;fail;350;TRY;0;
019813e7edb7753eb82a653193124869;5015744010215604;apm;complete;fail;400;TRY;0;
019813e759327c09a1c4efa184bb220f;86529010177392;apm;complete;fail;417;TRY;0;
019813e6990d7980bed9df6913372960;5031167010218444;apm;complete;fail;300;TRY;0;
019813e5fe8f7f22b3f6f40c8afd8c5b;72364010142402;apm;complete;fail;400;TRY;0;
019813e5f6dd777caeb08550ea30f6fe;72677010141112;apm;complete;fail;300;TRY;0;
019813e5c73b793eb84712ce9326908d;11101010131702;apm;complete;fail;417;TRY;0;
019813e3571773f581ef019c6b81dbf6;7038010146082;apm;complete;fail;400;TRY;0;
019813e1d07f7d5294073bb4d5500d28;94200010178502;apm;complete;fail;300;TRY;0;
019813e082b178dea002e077da373b23;16142010132042;apm;complete;fail;300;TRY;0;
